consumo,pr.tbc,pr.cc,pr.ca,pr.galv1,pr.galv2,pr.pint,linea,hora,temperatura,averias,naverias,sistema,ProdTotal,NOx,CO,COV,SO2,CO2,N2O
"124,09",8506,0,249,0,1098,0,A,5Âº,Baja,No,0,OFF,10355,"1,825","2,825","4,625",72,"93,06","4,34"
"99,36",6955,0,331,0,1657,0,A,6Âº,Alta,No,0,OFF,8943,"1,025","35,875","5,125","0,07","737,175","3,71"
"54,03",0,0,284,0,1713,0,A,7Âº,Alta,No,0,ON,4994,"1,12","1,53","2,475",75,"416,175","2,91"
"90,13",6836,0,232,0,1356,0,B,1Âº,Alta,No,0,ON,8424,"0,73","29,375","4,375",58,"679,575","5,08"
"160,49",9549,0,147,0,1325,0,B,2Âº,Baja,Si,2,OFF,13198,"15,525","52,975","7,425","0,07","120,44","7,06"
"128,62",9478,0,0,222,524,0,B,3Âº,Alta,No,0,OFF,10729,"12,375","3,555","0,54",36,"96,7","5,32"
"154,28",9912,0,319,305,1334,0,B,4Âº,Alta,No,0,ON,12723,"8,375","47,175","0,68",32,"114,605","6,83"
"125,91",4296,0,256,419,1122,0,B,5Âº,Baja,No,0,OFF,10591,"0,87","29,525","4,775",78,"944,075","7,55"
"115,92",7304,0,385,502,1736,0,B,6Âº,Alta,Si,3,ON,9927,45,"3,45","5,175",67,"853,675","5,22"
"120,04",6200,0,179,478,1732,0,B,7Âº,Baja,Si,2,OFF,10081,915,"2,79",455,51,"903,275","5,42"
"66,39",4113,0,587,423,1332,0,B,8Âº,Alta,No,0,ON,6455,"1,025","2,095","0,32",77,"489,125","1,73"
"104,76",5282,0,84,227,912,0,B,1Âº,Alta,No,0,OFF,8882,"1,035","29,275","4,525",81,"787,825","4,12"
"193,44",9355,0,0,489,1537,0,B,2Âº,Media,No,0,OFF,15746,"13,075","6,225","8,525",52,"1,463,075","8,79"
"191,32",8907,0,202,736,1376,0,B,3Âº,Media,No,0,OFF,15562,"1,355","7,535","9,825",63,"1,434,925","8,02"
"63,81",3152,0,367,720,51,0,B,4Âº,Alta,No,0,OFF,5785,"1,81","1,81","0,29","0,08","497,975","4,57"
"135,1",8968,0,170,200,0,0,B,5Âº,Baja,Si,2,OFF,11282,"1,05","4,68","0,66",81,"101,18","7,46"
"167,76",10705,0,317,715,0,0,B,6Âº,Media,Si,3,ON,13718,"18,325","50,775",725,65,"1,257,025","5,92"
"49,77",5102,0,140,425,0,0,B,7Âº,Baja,No,0,ON,5667,165,"6,225","0,15",69,"368,575","4,44"
"19,07",0,0,253,216,0,0,B,8Âº,Alta,No,0,ON,2300,"1,025","0,25",575,55,"143,575","1,54"
"38,39",0,0,0,536,0,109,B,1Âº,Alta,No,0,OFF,3870,125,"17,875","2,475",71,"29,44","5,12"
"163,58",7970,0,294,429,0,671,B,2Âº,Baja,No,0,OFF,13421,"1,975","60,375","8,175",76,"123,825","6,79"
"197,77",9560,0,405,892,885,706,B,3Âº,Media,Si,4,OFF,16098,"23,725","68,225",915,34,"1,496,175","9,5"
"141,82",8062,0,347,512,1540,419,B,4Âº,Media,No,0,ON,11734,"14,125","46,925","6,675",109,"106,715","5,51"
"39,72",0,0,396,698,524,0,B,5Âº,Baja,Si,4,ON,3850,665,"1,035",175,55,"29,435","0,87"
"17,5",0,0,211,432,0,0,B,6Âº,Alta,Si,2,ON,2187,"0,11","0,25",25,63,"14,285","1,76"
"39,38",0,0,0,310,1006,0,B,7Âº,Alta,No,0,ON,3879,"1,025","22,225","2,925",65,"290,175","2,89"
"201,88",8991,0,0,654,1609,0,B,8Âº,Media,No,0,ON,16387,"26,625","6,83","9,175",46,"1,535,125","8,78"
"224,51",10285,0,0,608,1220,0,B,1Âº,Media,No,0,OFF,18117,"18,625","8,48","1,09",102,"169,4","9,27"
"186,18",9646,0,0,659,1806,0,B,2Âº,Media,No,0,OFF,15159,"22,925","67,975","9,075",54,"139,025","7,36"
"163,53",10130,0,0,465,1151,0,B,3Âº,Baja,Si,4,OFF,13466,"2,01","35,875","5,725",28,"123,195","8,12"
"182,48",9283,0,0,830,1953,0,B,4Âº,Alta,No,0,OFF,14931,"1,025","5,585",785,35,"1,348,775","9,14"
"175,06",9571,0,677,697,1801,0,B,5Âº,Media,No,0,OFF,14311,"10,275","51,075","7,325",127,"132,225","7,38"
"161,52",9873,279,573,747,667,394,B,6Âº,Baja,No,0,ON,13225,"7,375","6,235",835,79,"120,81","5,48"
"127,07",4432,509,157,652,1273,747,B,7Âº,Baja,Si,2,ON,10656,"2,125","3,92",575,83,"972,325","6,93"
"245,74",10564,715,333,522,1266,839,B,8Âº,Baja,Si,3,ON,19783,"19,275","92,125","1,165",94,"1,832,675","10,89"
"193,15",10276,478,557,888,933,652,B,1Âº,Media,No,0,ON,15738,"2,16","5,11","7,425",49,"145,42","8,97"
"137,47",8369,503,375,733,949,596,B,2Âº,Alta,No,0,OFF,11525,"1,025","39,825","5,925",62,"101,715","6,08"
"165,17",8808,210,0,746,1586,0,B,3Âº,Baja,No,0,OFF,13528,"10,325","49,525","0,71",63,"1,243,925","6,28"
"131,5",9839,199,0,549,1381,0,B,4Âº,Media,No,0,ON,11968,"7,375","46,525","6,525",78,"988,325","6,27"
"220,96",10415,182,0,645,1485,399,B,5Âº,Media,No,0,OFF,17776,"23,225","7,845","1,025",83,"1,670,675","6,8"
"179,38",10955,80,72,959,1402,776,B,6Âº,Media,No,0,ON,14648,"17,575","6,375","0,86",59,"1,346,775","7,63"
"143,82",8888,440,253,91,1447,898,B,7Âº,Baja,No,0,ON,12017,"17,075","4,1","0,61",71,"1,084,175","8,21"
"85,79",3257,306,160,135,1652,615,C,1Âº,Media,No,0,ON,7482,"3,375","23,325","0,37",71,"63,065","5,36"
"165,36",9927,380,313,765,1509,268,C,2Âº,Media,No,0,ON,13531,"1,12","4,205",635,81,"123,82","5,72"
"194,92",9380,287,261,971,1757,0,C,3Âº,Alta,Si,3,ON,15817,"0,45","6,235",855,75,"145,425","7,27"
"191,02",9336,395,0,377,1749,0,C,4Âº,Media,No,0,ON,15574,"13,025","64,025","0,87",69,"1,435,275","9,09"
"156,03",9238,103,0,809,302,0,C,5Âº,Alta,No,0,OFF,12852,"13,675","5,205","0,73",61,"117,23","6,82"
"234,39",9864,483,0,766,1665,373,C,6Âº,Alta,No,0,OFF,18892,"2,09","7,965","1,04",81,"1,755,175","9,87"
"221,26",9497,470,0,817,805,731,C,7Âº,Media,Si,2,OFF,17803,"1,615","67,775","9,175",14,"1,662,125","6,82"
"68,3",790,434,0,673,1461,0,C,8Âº,Media,Si,4,ON,6075,"1,025","21,675","0,33",82,"503,175","2,81"
"173,1",5731,767,0,856,1325,429,C,1Âº,Media,No,0,OFF,14146,"15,525","52,175","7,425",2,"1,297,475","6,69"
"290,72",10840,866,0,627,1507,0,C,2Âº,Media,No,0,OFF,23202,"18,725","10,17","1,255",79,"2,183,075","11,14"
"250,73",9428,780,0,857,1199,0,C,3Âº,Media,No,0,OFF,20111,"14,875","92,275","11,675",68,"1,868,375","9,2"
"190,64",10679,529,0,0,0,0,C,4Âº,Media,No,0,OFF,15540,"1,935","5,315","0,76",54,"1,435,725","8,8"
"180,44",9734,666,0,657,214,346,C,5Âº,Media,Si,4,ON,14747,"4,725","5,825","8,075",111,"134,495","8,22"
"200,75",8300,585,0,883,1489,732,C,6Âº,Media,No,0,ON,16279,"1,535","6,59","8,925",92,"150,5","7,92"
"126,06",4527,313,0,753,1360,891,C,7Âº,Baja,No,0,ON,10501,945,"3,645","5,475",101,"941,425","4,19"
"165,56",9343,131,0,454,1051,270,C,8Âº,Media,No,0,ON,13594,"10,975","4,775","6,925",101,"1,244,075","7,42"
"97,94",4086,582,0,82,1729,0,C,1Âº,Alta,No,0,OFF,8349,"0,3","3,175","0,47",55,"732,525","3,7"
"156,41",8719,729,0,0,1765,0,C,2Âº,Media,No,0,ON,12889,"15,075","50,725",715,44,"1,165,625",7
"136,05",7780,713,0,26,1561,0,C,3Âº,Media,No,0,ON,11324,"1,22","30,125","4,925",34,"102,505","6,33"
"146,18",9028,721,0,153,1443,0,C,4Âº,Media,No,0,OFF,12073,"1,025","47,275",675,42,"1,087,775","5,79"
"163,15",9982,743,0,827,1271,765,C,5Âº,Baja,No,0,ON,13588,"1,45","53,525","0,75",72,"1,230,375","6,87"
"185,71",10144,695,0,949,17,628,C,6Âº,Baja,No,0,OFF,15137,"16,125","63,975","8,675",42,"1,392,925","7,92"
"126,67",6909,1016,0,133,0,0,C,7Âº,Baja,Si,2,OFF,10615,"1,355","3,55","5,375",94,"95,715","6,49"
"110,45",8132,1100,0,0,934,0,C,8Âº,Alta,No,0,OFF,10166,575,"3,52","0,52",82,"826,175","4,26"
"131,95",8922,384,0,0,1480,0,C,1Âº,Baja,No,0,ON,11026,"12,575","3,985","5,875",98,"97,89","6,71"
"149,88",9433,371,0,431,1418,0,C,2Âº,Baja,No,0,OFF,12407,"11,175","32,525","0,53",63,"1,118,825","7,32"
"187,36",9020,149,0,755,1590,0,C,3Âº,Media,Si,4,OFF,15188,175,"5,495","7,775",66,"1,392,025","5,39"
"246,54",10160,724,0,635,1543,563,C,4Âº,Baja,Si,2,OFF,19798,"1,27","8,55","10,975",1,"1,850,375","9,46"
"222,88",3900,868,122,705,1653,808,C,5Âº,Media,No,0,OFF,17984,"16,825","81,625","10,575",92,"1,672,025","8,85"
"191,01",9185,751,91,432,1675,83,C,6Âº,Media,No,0,OFF,15511,"2,08","6,18","8,475",73,"143,195","6,88"
"195,61",9836,763,234,0,992,0,C,7Âº,Alta,No,0,ON,15916,"14,375","56,275",795,108,"146,405","8,73"
"160,87",9091,219,83,0,839,0,C,8Âº,Baja,No,0,ON,13176,445,"47,175",685,74,"120,68","5,42"
"183,26",10365,777,0,357,0,0,C,1Âº,Alta,No,0,ON,14908,"10,475","66,425","0,89",97,"1,353,175","6,34"
"184,7",9763,773,0,716,0,300,C,2Âº,Baja,Si,4,OFF,14998,"2,125","41,075","6,375",54,"139,47","5,66"
"113,75",9333,455,150,669,715,0,C,3Âº,Alta,Si,3,OFF,11322,"1,025","3,52","5,225","0,06","84,44","4,71"
"105,06",2271,0,391,697,1503,0,C,4Âº,Alta,No,0,OFF,8939,"9,525","4,005","5,625",104,"789,275","5,39"
"168,88",9625,112,325,509,1124,0,C,5Âº,Media,No,0,ON,13845,"2,195","5,275",745,51,"128,075","7,44"
"195,61",10979,700,333,0,1319,0,C,6Âº,Baja,No,0,OFF,15906,"13,925","68,275",915,"0,06","1,466,625","8,54"
"213,23",10441,467,248,0,1567,0,C,7Âº,Media,No,0,ON,17247,"2,03","7,085","9,475",54,"160,385","8,6"
